Restaurant_Name,Cuisine,Price_for_1,Location,Rating
Cupcake Bliss Cake & Desserts,ice cream,200,vasanth-nagar,20
Cupcake Bliss Cake & Desserts,beverages,200,vasanth-nagar,20
Dum Biryani Hub,biryani,450,layout,500
Dum Biryani Hub,north indian,450,layout,500
Dum Biryani Hub,chinese,450,layout,500
Dum Biryani Hub,desserts,450,layout,500
Dum Biryani Hub,beverages,450,layout,500
Sri Maruthi Hotel,north indian,400,rajajinagar,50
Sri Krishna Sagar,south indian,200,koramangala,10000
Sri Krishna Sagar,north indian,200,koramangala,10000
Sri Krishna Sagar,beverages,200,koramangala,10000
Sri Krishna Sagar,jain,200,koramangala,10000
Sri Krishna Juices,juices,200,ulsoor,10
Sri Krishna Juices,beverages,200,ulsoor,10
Indian Maharaj,snacks,500,basavanagudi,0
Indian Maharaj,desserts,500,basavanagudi,0
Indian Maharaj,bakery,500,basavanagudi,0
M.S Dose Corner,south indian,100,temple-road,20
Cotton Candy Station,beverages,200,rajajinagar,10
Mini Samrat Chalukya,south indian,350,vasanth-nagar,1000
Mini Samrat Chalukya,north indian,350,vasanth-nagar,1000
Mini Samrat Chalukya,chinese,350,vasanth-nagar,1000
Mini Samrat Chalukya,desserts,350,vasanth-nagar,1000
Blue Tokai Coffee Roasters,healthy food,800,shivaji-nagar,500
Blue Tokai Coffee Roasters,american,800,shivaji-nagar,500
Blue Tokai Coffee Roasters,lebanese,800,shivaji-nagar,500
Blue Tokai Coffee Roasters,mediterranean,800,shivaji-nagar,500
Blue Tokai Coffee Roasters,european,800,shivaji-nagar,500
Blue Tokai Coffee Roasters,juices,800,shivaji-nagar,500
Blue Tokai Coffee Roasters,middle easter...,800,shivaji-nagar,500
Fresh Pressery Cafe,continental,500,koramangala,10000
Fresh Pressery Cafe,italian,500,koramangala,10000
Fresh Pressery Cafe,salads,500,koramangala,10000
Fresh Pressery Cafe,pastas,500,koramangala,10000
Fresh Pressery Cafe,beverages,500,koramangala,10000
Fresh Pressery Cafe,pizzas,500,koramangala,10000
Fresh Pressery Cafe,snacks,500,koramangala,10000
Fresh Pressery Cafe,american,500,koramangala,10000
Fresh Pressery Cafe,healt...,500,koramangala,10000
Malabar Bay,kerala,300,koramangala,10000
Malabar Bay,seafood,300,koramangala,10000
Malabar Bay,south indian,300,koramangala,10000
Malabar Bay,biryani,300,koramangala,10000
Malabar Bay,chinese,300,koramangala,10000
Malabar Bay,desserts,300,koramangala,10000
Malabar Bay,beverages,300,koramangala,10000
Nisarga Garden,north indian,200,basavanagudi,1000
Nisarga Garden,south indian,200,basavanagudi,1000
Nisarga Garden,chaat,200,basavanagudi,1000
Nisarga Garden,beverages,200,basavanagudi,1000
Sree Krishna Kafe,south indian,137,koramangala,10000
Falhari - A Fruitful Habit,salads,300,tavarekere,1000
Falhari - A Fruitful Habit,juices,300,tavarekere,1000
Falhari - A Fruitful Habit,beverages,300,tavarekere,1000
Falhari - A Fruitful Habit,desserts,300,tavarekere,1000
Om Sai Ram Food Junction,north indian,5,indiranagar,100
Om Sai Ram Food Junction,bengali,5,indiranagar,100
Om Sai Ram Food Junction,south indian,5,indiranagar,100
Om Sai Ram Food Junction,fast food,5,indiranagar,100
Om Sai Ram Food Junction,chinese,5,indiranagar,100
Om Sai Ram Food Junction,biryani,5,indiranagar,100
Om Sai Ram Food Junction,desserts,5,indiranagar,100
Om Sai Ram Food Junction,kera...,5,indiranagar,100
Udupi Grand,chinese,500,basavanagudi,1000
Udupi Grand,north indian,500,basavanagudi,1000
Udupi Grand,south indian,500,basavanagudi,1000
BIRIYANI HOUSE,biryani,350,layout,100
Bansuri Sweets,desserts,150,layout,1000
Chaaska Chaat Point,snacks,150,koramangala,10
Chaaska Chaat Point,chinese,150,koramangala,10
Chaaska Chaat Point,indian,150,koramangala,10
Chaaska Chaat Point,juices,150,koramangala,10
Durga Shree Samruddhi Grand,south indian,200,nagawara,10
Durga Shree Samruddhi Grand,chinese,200,nagawara,10
Durga Shree Samruddhi Grand,north indian,200,nagawara,10
Durga Shree Samruddhi Grand,tandoor,200,nagawara,10
Durga Shree Samruddhi Grand,chaat,200,nagawara,10
Durga Shree Samruddhi Grand,beverages,200,nagawara,10
Durga Shree Samruddhi Grand,desserts,200,nagawara,10
"Bhartiya Jalpan - Sweets, Dry Fruit and Savouries",north indian,300,shivajinagar,500
"Bhartiya Jalpan - Sweets, Dry Fruit and Savouries",sweets,300,shivajinagar,500
"Bhartiya Jalpan - Sweets, Dry Fruit and Savouries",desserts,300,shivajinagar,500
"Bhartiya Jalpan - Sweets, Dry Fruit and Savouries",chaat,300,shivajinagar,500
TAAZA MITHAI,sweets,200,jp-nagar,20
TAAZA MITHAI,snacks,200,jp-nagar,20
Little Cafe,chinese,200,brigade-road,20
Little Cafe,continental,200,brigade-road,20
Little Cafe,beverages,200,brigade-road,20
Krispy Kreme,desserts,170,richmond-road,1000
Krispy Kreme,beverages,170,richmond-road,1000
Keventers - Milkshakes & Desserts,beverages,200,magrth-road,100
Keventers - Milkshakes & Desserts,ice cream,200,magrth-road,100
Keventers - Milkshakes & Desserts,desserts,200,magrth-road,100
Keventers - Milkshakes & Desserts,healthy food,200,magrth-road,100
Taste of malabar,kerala,230,layout,1000
Taste of malabar,south indian,230,layout,1000
Taste of malabar,seafood,230,layout,1000
Taste of malabar,chinese,230,layout,1000
Saapad Raman,chettinad,300,kammanahalli,1000
Saapad Raman,andhra,300,kammanahalli,1000
Saapad Raman,south indian,300,kammanahalli,1000
Saapad Raman,biryani,300,kammanahalli,1000
Aahar,south indian,200,majestic,20
Aahar,beverages,200,majestic,20
Flax - Healthy Living,salads,700,indiranagar,5000
Flax - Healthy Living,healthy food,700,indiranagar,5000
S G Rao's Military Hotel,south indian,400,majestic,100
S G Rao's Military Hotel,biryani,400,majestic,100
